id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
0;F/V VICTOIRE-CELESTE;Fishing;<1;<1;311;308,2;3,6;3,5;;Lorient, France;FR;228138000;;Under Way;18;19;6;0;0;;;;;0;1;0;0;0;neutre;neutre;;
1;F/V ANNYTIA;Fishing;<1;<1;288;287,1;9,7;9,8;Fishing Zone;Lorient, France;FR;228215700;;Under Way;17;18;6;0;0;;;;;0;0;0;0;0;neutre;neutre;;
2;EXCELLO;Chemical/Oil Tanker;<1;<1;29,5;33,4;9,7;10,2;Rotterdram, Netherlands;Leixoes, Portugal;SW;266273000;9308558;Under Way;161;188;22;2008;15,5;;;;;1;0;0;0;0;suspect;suspect;l'écart entre la longueur mesurée et la longueur déclarée est important;
3;VENEZIA 0;Chemical/Oil Tanker;<1;<1;28;26,8;11,9;11,5;Porsgrunn, Norway;Setubal, Portugal;NL;246347000;9150327;Under Way;126;125;19;1998;10,1;;;;;1;0;0;0;0;neutre;neutre;les données de l'AIS et les données mesurées sont cohérentes entre elles et avec les images;
4;Southern Rock;General Cargo;<1;<1;209;209;12,5;12,2;NLD GOV VES;Eemshaven, Netherlands;NL;246809000;9965241;Under Way;114;111;16;2023;4,6;;;;;1;0;0;0;0;neutre;neutre;;
5;PALOMA;Oil Tanker;<1;<1;209;207,8;3,1;3;Lome, Togolese Rep;Goteborg Anch., Sweden;MH;538010419;9324318;Under Way;228;221;32;2007;76,5;;;;;1;0;0;0;0;suspect;suspect;la vitesse de l'AIS et la vitesse captée sont basses pour un navire de type Tanker dans une route maritime;
6;ATALAYA TMA;General Cargo;<1;<1;295;292,9;18,5;18,7;Savannah, United States;Brest, France;PT;255998000;9369291;Under Way;118;123;16;2023;7,2;;;;;0;0;0;0;0;suspect;neutre;les vitesses déclarées et mesurées semblent élevées pour un navire de type General Cargo de 118m de long;
7;THUN RELIANCE;Chemical/Oil Tanker;<1;<1;282;283,1;15;14,6;Veracruz, Mexico;Wilhelmshaven, Germany;NL;244335000;9970519;Under Way;300;305;43;2011;93,4;;;;;0;0;0;0;0;neutre;neutre;;
8;NATHALIE EHLER;Container;<1;<1;34;34,6;16,8;17,1;Antwerpen Anch., Belgium;Leixoes, Portugal;AG;305886000;9242560;Under Way;133;132;22;2002;11,3;;;;;1;0;0;0;0;neutre;neutre;;
9;CLEAN PLANET;LNG Tanker;<1;<1;201;201,4;15,6;16;ATLANTIC FOR ORDERS;Sanaga1 Oil Field Term.;MT;249044000;9859739;Under Way;295;311;46;2021;94,6;;;;;1;0;0;1;0;suspect;suspect;il y a un navire proche alors que le navire se situe dans une route maritime;
