id;name;type;vLastAIS;vDistAIS;headAIS;headReal;speedAIS;speedReal;to;from;nat;mmsi;imo;status;lengthAIS;lengthReal;width;built;weight;temperature;wind;waveHeight;draught;inMaritimeRoad;inFishingZone;inCoastZone;nearOtherVessel;protectedZone;recIA;gt;expIA;expGT
0;FOKKO UKENA;General Cargo;<1;<1;31,2;30,7;7,1;7,2;Baltic Wharf, United Kingdom;Tarragona, Spain;AG;304089000;9375812;Under Way;89;87;12;2007;2,4;;;;4,7;1;0;0;0;0;neutre;neutre;;
1;VIKING SKY;Passenger (Cruise);<1;<1;209,1;208,5;16,7;16,5;A Coruna, Spain;Honfleur, France;NO;259186000;9650420;Under Way;228;231;34;2017;47,8;;;;6,9;1;0;0;0;0;neutre;neutre;;
2;CEMVALE;Cement Carrier;<1;<1;31,2;29,7;11;10,7;Ridham Dock, United Kingdom;Gijon, Spain;CY;212109000;9048287;Under Way;88;90;14;1992;2,9;;;;6,1;1;0;0;0;0;neutre;neutre;;
3;SEACHARM;Crude Oil;<1;<1;93;92,4;12,6;12,2;Rotterdam, Netherlands;Whiffen Head, Canada;MH;538007825;9773765;Under Way;199;253;44;2018;60,1;;;;8,2;0;0;0;0;0;suspect;suspect;l'écart entre la longueur déclarée et la longueur mesurée est important;
4;FUTURE WAY;Vehicles Carrier;<1;<1;251,4;252,8;13,3;13,6;Davisville, United States;Emden, Germany;SE;265050000;9945590;Under Way;200;191;37;2024;62,4;;;;8,6;1;0;0;0;0;neutre;neutre;;
5;NEPTUN 11;Tug;<1;<1;201,3;204,5;5,6;5,3;NGLOA;Moerdijk, Netherlands;NL;244423000;9571208;Restricted;20;19;5;2011;0,5;;;;4,5;1;0;0;0;0;neutre;neutre;;
6;HIGH NAVIGATOR;Chemical/Oil Products;>5;>1;32,1;32,6;14,2;12,5;IMMINGHAM, United Kingdom;Gibraltar West Anch., Gibraltar;LR;636024951;9814143;Under Way;181;188;32;2018;29,4;;;;8;1;0;0;0;0;suspect;neutre;l'écart entre la vitesse déclarée et la vitesse mesurée est important;
7;MSXT HERA;Bulk Carrier;<1;<1;63;65,6;13,7;14,1;Brest, France;Vila do Conde/Barcarena Anch., Brazil;MH;538008140;9835070;Under Way;229;231;32;2018;44,1;;;;13,4;0;0;0;0;0;neutre;neutre;;
8;WOODSIDE CHANEY;LNG Tanker;<1;<1;53,1;52,9;21;21,3;Rotterdam, Netherlands;Rotterdam, Netherlands;GR;241637000;9753026;Under Way;295;294;46;2019;113,8;;;;11,3;1;0;0;0;0;suspect;neutre;la destination et le dernier port sont les mêmes et sa vitesse semble élevée pour un navire de type LNG Tanker;
9;NORDIC TELLUS;Crude Oil Tanker;<1;<1;208,2;206,4;8,3;8,5;Gibraltar, Gibraltar;Wilhelmshaven Anch., Germany;KY;319131300;9818230;Under Way;277;275;48;2018;80,8;;;;9,3;1;0;0;0;0;neutre;neutre;les données AIS et captées sont cohérentes entre elles et avec les images;
10;F/V TARANIS;Fishing;<1;<1;211,8;214,3;7,3;7;FISHING GROUNDS;Roscoff, France;FR;228004600;9644081;Under Way;25;23;6;2011;0,2;;;;;0;0;0;0;0;suspect;neutre;le navire semble loin de tout autre navire et n'arrive pas de Roscoff, France;
11;KIKKI C;General Cargo;<1;<1;29,1;28;10,4;10,1;Norrkoping, Sweden;Setubal, Portugal;PT;255806480;9558036;Under Way;106;111;15;2011;4,1;;;;6,4;1;0;0;0;0;neutre;neutre;;
12;LUCKY JOY;Bulk Carrier;<1;<1;202,8;203,1;9,9;9,8;Marmugao (Marmagao), India;Ust-Luga, Russia;PA;352898727;9304227;Under Way;225;223;32;2005;40;;;;14,3;1;0;0;0;0;neutre;neutre;;
